run_index,seed,n_players_per_group,elapsed_seconds,vo_vi_n_unique,vo_vi_unique_ratio,vo_vi_pct_sharing,vo_vi_max_cluster,tinh_cam_n_unique,tinh_cam_unique_ratio,tinh_cam_pct_sharing,tinh_cam_max_cluster
82,82,5000000,14.268,4593645,0.918729,15.79866,6,3549752,0.7099504,46.10194,36
83,83,5000000,14.319,4592576,0.9185152,15.84234,6,3549677,0.7099354,46.07504,34
84,84,5000000,14.281,4592410,0.918482,15.85102,6,3549885,0.709977,46.0845,39
85,85,5000000,14.29,4592932,0.9185864,15.82754,6,3550296,0.7100592,46.08228,38
86,86,5000000,14.296,4592740,0.918548,15.83552,6,3549975,0.709995,46.08564,39
87,87,5000000,14.239,4592594,0.9185188,15.83834,5,3550449,0.7100898,46.07656,41
88,88,5000000,14.364,4592520,0.918504,15.84426,6,3550836,0.7101672,46.06096,40
89,89,5000000,14.218,4592503,0.9185006,15.8425,7,3549205,0.709841,46.12694,39
90,90,5000000,14.215,4592634,0.9185268,15.83672,5,3548077,0.7096154,46.10472,42
91,91,5000000,14.208,4592813,0.9185626,15.82946,6,3549373,0.7098746,46.0988,37
92,92,5000000,14.771,4591733,0.9183466,15.8716,6,3550019,0.7100038,46.08968,44
93,93,5000000,14.995,4592551,0.9185102,15.8418,6,3549030,0.709806,46.11468,38
94,94,5000000,15.702,4592349,0.9184698,15.84894,5,3550190,0.710038,46.08618,41
95,95,5000000,15.32,4592015,0.918403,15.85972,6,3549622,0.7099244,46.08474,41
96,96,5000000,15.277,4591851,0.9183702,15.86826,6,3550189,0.7100378,46.08096,36
97,97,5000000,15.354,4593090,0.918618,15.8238,5,3552643,0.7105286,46.02188,40
98,98,5000000,15.288,4592192,0.9184384,15.86236,5,3549203,0.7098406,46.11146,37
99,99,5000000,15.363,4592754,0.9185508,15.8334,5,3549861,0.7099722,46.0791,39
